year,geography_type,geography_id,geography_name,total_storefronts,vacant_storefronts,vacancy_rate,median_rent_psf_class2_4,total_storefronts_class1,vacant_storefronts_class1,vacancy_rate_class1,total_storefronts_class2_4,vacant_storefronts_class2_4,vacancy_rate_class2_4,total_storefronts_all,vacant_storefronts_all,vacancy_rate_all,has_full_class1_vacancy,has_full_class24_vacancy
2019,census tract,1.0048.00,1.0048.00,100.0,,,8.0,,,,100.0,,,100.0,,,True,False
2019,census tract,1.0049.00,1.0049.00,334.0,33.0,0.09880239520958084,17.0,,,,334.0,33.0,0.09880239520958084,334.0,33.0,0.09880239520958084,True,True
2019,census tract,1.0050.00,1.0050.00,87.0,,,9.0,,,,87.0,,,87.0,,,True,False
2019,census tract,1.0052.00,1.0052.00,154.0,,,12.0,,,,154.0,,,154.0,,,True,False
2019,census tract,1.0054.00,1.0054.00,177.0,,,9.0,,,,177.0,,,177.0,,,True,False
2019,census tract,1.0055.01,1.0055.01,35.0,,,15.329999999999998,,,,35.0,,,35.0,,,True,False
2019,census tract,1.0055.02,1.0055.02,119.0,,,12.0,,,,119.0,,,119.0,,,True,False
2019,census tract,1.0056.00,1.0056.00,108.0,,,10.75,,,,108.0,,,108.0,,,True,False
2019,census tract,1.0057.00,1.0057.00,65.0,,,13.44,,,,65.0,,,65.0,,,True,False
2019,census tract,1.0058.00,1.0058.00,222.0,,,9.72,,,,222.0,,,222.0,,,True,False
2019,census tract,1.0059.00,1.0059.00,77.0,,,11.0,,,,77.0,,,77.0,,,True,False
2019,census tract,1.0061.00,1.0061.00,144.0,15.0,0.10416666666666667,9.42,,,,144.0,15.0,0.10416666666666667,144.0,15.0,0.10416666666666667,True,True
2019,census tract,1.0063.00,1.0063.00,166.0,,,11.0,,,,166.0,,,166.0,,,True,False
2019,census tract,1.0064.00,1.0064.00,109.0,,,8.0,,,,109.0,,,109.0,,,True,False
2019,census tract,1.0065.00,1.0065.00,225.0,15.0,0.06666666666666667,12.84,,,,225.0,15.0,0.06666666666666667,225.0,15.0,0.06666666666666667,True,True
2019,census tract,1.0066.00,1.0066.00,94.0,,,9.0,,,,94.0,,,94.0,,,True,False
2019,census tract,1.0067.00,1.0067.00,176.0,,,13.0,,,,176.0,,,176.0,,,True,False
2019,census tract,1.0068.00,1.0068.00,159.0,,,9.0,,,,159.0,,,159.0,,,True,False
2019,census tract,1.0069.00,1.0069.00,31.0,,,6.0,,,,31.0,,,31.0,,,True,False
2019,census tract,1.0070.00,1.0070.00,111.0,,,10.0,,,,111.0,,,111.0,,,True,False
