year,geography_type,geography_name,geography_id,total_storefronts,vacant_storefronts,median_rent_psf,vacancy_rate
2019,census tract,1.0052.00,1.0052.00,154,NA,12,NA
2019,census tract,1.0054.00,1.0054.00,177,NA,9,NA
2019,census tract,1.0055.01,1.0055.01,35,NA,15.33,NA
2019,census tract,1.0055.02,1.0055.02,119,NA,12,NA
2019,census tract,1.0056.00,1.0056.00,108,NA,10.75,NA
2019,census tract,1.0057.00,1.0057.00,65,NA,13.44,NA
2019,census tract,1.0058.00,1.0058.00,222,NA,9.719999999999999,NA
2019,census tract,1.0059.00,1.0059.00,77,NA,11,NA
2019,census tract,1.0061.00,1.0061.00,144,15,9.42,0.10416666666666667
2019,census tract,1.0063.00,1.0063.00,166,NA,11,NA
2019,census tract,1.0064.00,1.0064.00,109,NA,8,NA
2019,census tract,1.0065.00,1.0065.00,225,15,12.84,0.06666666666666667
2019,census tract,1.0066.00,1.0066.00,94,NA,9,NA
2019,census tract,1.0067.00,1.0067.00,176,NA,13,NA
2019,census tract,1.0068.00,1.0068.00,159,NA,9,NA
2019,census tract,1.0069.00,1.0069.00,31,NA,6,NA
2019,census tract,1.0070.00,1.0070.00,111,NA,10,NA
2019,census tract,1.0071.00,1.0071.00,172,NA,10,NA
2019,census tract,1.0072.00,1.0072.00,139,NA,8,NA
2019,census tract,1.0073.00,1.0073.00,199,NA,18.830000000000002,NA
2019,census tract,1.0074.00,1.0074.00,217,NA,9,NA
2019,census tract,1.0075.00,1.0075.00,52,NA,13,NA
2019,census tract,1.0076.00,1.0076.00,287,33,12,0.11498257839721254
2019,census tract,1.0077.00,1.0077.00,129,NA,15,NA
2019,census tract,1.0078.00,1.0078.00,94,NA,8.49,NA
2019,census tract,1.0079.00,1.0079.00,106,NA,12.5,NA
2019,census tract,1.0080.00,1.0080.00,138,NA,8,NA
2019,census tract,1.0081.00,1.0081.00,142,NA,11,NA
2019,census tract,1.0082.00,1.0082.00,180,NA,11.8,NA
2019,census tract,1.0083.00,1.0083.00,118,NA,14,NA
2019,census tract,1.0084.00,1.0084.00,155,11,7,0.07096774193548387
2019,census tract,1.0086.03,1.0086.03,30,NA,9,NA
2019,census tract,1.0087.00,1.0087.00,139,NA,10,NA
2019,census tract,1.0088.00,1.0088.00,105,NA,13,NA
2019,census tract,1.0089.00,1.0089.00,40,NA,10.84,NA
2019,census tract,1.0090.00,1.0090.00,124,NA,11,NA
2019,census tract,1.0091.00,1.0091.00,220,20,10,0.09090909090909091
2019,census tract,1.0092.00,1.0092.00,168,NA,16,NA
2019,census tract,1.0093.00,1.0093.00,85,NA,9,NA
2019,census tract,1.0094.00,1.0094.00,144,NA,16,NA
2019,census tract,1.0095.00,1.0095.00,258,26,7,0.10077519379844961
2019,census tract,1.0096.00,1.0096.00,392,26,24.5,0.0663265306122449
2019,census tract,1.0098.00,1.0098.00,182,NA,11,NA
2019,census tract,1.0099.00,1.0099.00,244,NA,7,NA
2019,census tract,1.0100.00,1.0100.00,173,22,14.46,0.12716763005780346
2019,census tract,1.0101.00,1.0101.00,180,NA,10,NA
2019,census tract,1.0102.00,1.0102.00,166,NA,21.59,NA
2019,census tract,1.0103.00,1.0103.00,62,18,9,0.2903225806451613
2019,census tract,1.0104.00,1.0104.00,223,15,14.99,0.06726457399103139
2019,census tract,3.0116.00,3.0116.00,12,NA,NA,NA
2019,census tract,1.0106.01,1.0106.01,44,NA,12,NA
2019,census tract,1.0106.02,1.0106.02,37,NA,10,NA
2019,census tract,1.0108.00,1.0108.00,191,NA,9,NA
2019,census tract,1.0109.00,1.0109.00,339,NA,8.33,NA
2019,census tract,1.0110.00,1.0110.00,197,24,10.07,0.1218274111675127
2019,census tract,1.0111.00,1.0111.00,133,NA,7.92,NA
2019,census tract,1.0112.01,1.0112.01,87,NA,17.5,NA
2019,census tract,1.0112.02,1.0112.02,92,NA,28,NA
2019,census tract,1.0112.03,1.0112.03,118,15,12.47,0.1271186440677966
2019,census tract,1.0113.00,1.0113.00,250,NA,15,NA
2019,census tract,1.0114.01,1.0114.01,88,NA,20.87,NA
2019,census tract,1.0114.02,1.0114.02,126,NA,12,NA
2019,census tract,1.0115.00,1.0115.00,101,NA,9,NA
2019,census tract,1.0116.00,1.0116.00,24,NA,11,NA
2019,census tract,1.0117.00,1.0117.00,16,NA,2,NA
2019,census tract,1.0118.00,1.0118.00,116,NA,12,NA
2019,census tract,1.0119.00,1.0119.00,133,NA,20,NA
2019,census tract,1.0120.00,1.0120.00,84,NA,12,NA
2019,census tract,1.0121.00,1.0121.00,149,NA,13,NA
2019,census tract,1.0122.00,1.0122.00,144,21,21.830000000000002,0.14583333333333334
2019,census tract,1.0124.00,1.0124.00,69,NA,10.66,NA
2019,census tract,1.0125.00,1.0125.00,130,NA,19,NA
2019,census tract,1.0126.00,1.0126.00,137,NA,11,NA
2019,census tract,1.0127.00,1.0127.00,188,NA,12,NA
2019,census tract,1.0128.00,1.0128.00,138,NA,13.03,NA
2019,census tract,1.0129.00,1.0129.00,90,NA,7,NA
2019,census tract,1.0130.00,1.0130.00,117,NA,29,NA
2019,census tract,1.0131.00,1.0131.00,143,NA,14,NA
2019,census tract,1.0132.00,1.0132.00,91,NA,9,NA
2019,census tract,1.0133.00,1.0133.00,134,NA,17,NA
2019,census tract,1.0134.00,1.0134.00,171,NA,9,NA
2019,census tract,1.0135.00,1.0135.00,74,NA,7.08,NA
